probability	multiplicity	num_to_draw	deck_size
     0.044	(1, 2, 2, 2, 3)	        15	        46
     0.068	(1, 2, 2, 2, 3)	        16	        46
      0.08	(1, 2, 2, 2, 3)	        17	        46
       0.0	(1, 2, 2, 2, 3)	         5	        47
     0.002	(1, 2, 2, 2, 3)	         6	        47
       0.0	(1, 2, 2, 2, 3)	         7	        47
     0.004	(1, 2, 2, 2, 3)	         8	        47
     0.006	(1, 2, 2, 2, 3)	         9	        47
     0.006	(1, 2, 2, 2, 3)	        10	        47
     0.006	(1, 2, 2, 2, 3)	        11	        47
     0.022	(1, 2, 2, 2, 3)	        12	        47
     0.022	(1, 2, 2, 2, 3)	        13	        47
      0.03	(1, 2, 2, 2, 3)	        14	        47
     0.036	(1, 2, 2, 2, 3)	        15	        47
     0.054	(1, 2, 2, 2, 3)	        16	        47
      0.08	(1, 2, 2, 2, 3)	        17	        47
       0.0	(1, 2, 2, 2, 3)	         5	        48
       0.0	(1, 2, 2, 2, 3)	         6	        48
       0.0	(1, 2, 2, 2, 3)	         7	        48
     0.002	(1, 2, 2, 2, 3)	         8	        48
       0.0	(1, 2, 2, 2, 3)	         9	        48
     0.008	(1, 2, 2, 2, 3)	        10	        48
     0.004	(1, 2, 2, 2, 3)	        11	        48
      0.02	(1, 2, 2, 2, 3)	        12	        48
     0.016	(1, 2, 2, 2, 3)	        13	        48
     0.022	(1, 2, 2, 2, 3)	        14	        48
     0.024	(1, 2, 2, 2, 3)	        15	        48
     0.066	(1, 2, 2, 2, 3)	        16	        48
     0.068	(1, 2, 2, 2, 3)	        17	        48
       0.0	(1, 2, 2, 2, 3)	         5	        49
       0.0	(1, 2, 2, 2, 3)	         6	        49
     0.004	(1, 2, 2, 2, 3)	         7	        49
       0.0	(1, 2, 2, 2, 3)	         8	        49
     0.006	(1, 2, 2, 2, 3)	         9	        49
     0.002	(1, 2, 2, 2, 3)	        10	        49
      0.01	(1, 2, 2, 2, 3)	        11	        49
     0.018	(1, 2, 2, 2, 3)	        12	        49
     0.016	(1, 2, 2, 2, 3)	        13	        49
     0.036	(1, 2, 2, 2, 3)	        14	        49
     0.034	(1, 2, 2, 2, 3)	        15	        49
     0.058	(1, 2, 2, 2, 3)	        16	        49
     0.088	(1, 2, 2, 2, 3)	        17	        49
       0.0	(1, 2, 2, 2, 3)	         5	        50
       0.0	(1, 2, 2, 2, 3)	         6	        50
     0.002	(1, 2, 2, 2, 3)	         7	        50
       0.0	(1, 2, 2, 2, 3)	         8	        50
       0.0	(1, 2, 2, 2, 3)	         9	        50
     0.008	(1, 2, 2, 2, 3)	        10	        50
     0.008	(1, 2, 2, 2, 3)	        11	        50
     0.008	(1, 2, 2, 2, 3)	        12	        50
     0.022	(1, 2, 2, 2, 3)	        13	        50
     0.026	(1, 2, 2, 2, 3)	        14	        50
     0.026	(1, 2, 2, 2, 3)	        15	        50
     0.048	(1, 2, 2, 2, 3)	        16	        50
     0.056	(1, 2, 2, 2, 3)	        17	        50
       0.0	(1, 2, 2, 2, 3)	         5	        51
       0.0	(1, 2, 2, 2, 3)	         6	        51
       0.0	(1, 2, 2, 2, 3)	         7	        51
     0.002	(1, 2, 2, 2, 3)	         8	        51
       0.0	(1, 2, 2, 2, 3)	         9	        51
     0.006	(1, 2, 2, 2, 3)	        10	        51
     0.006	(1, 2, 2, 2, 3)	        11	        51
      0.01	(1, 2, 2, 2, 3)	        12	        51
     0.026	(1, 2, 2, 2, 3)	        13	        51
     0.026	(1, 2, 2, 2, 3)	        14	        51
     0.034	(1, 2, 2, 2, 3)	        15	        51
     0.072	(1, 2, 2, 2, 3)	        16	        51
     0.064	(1, 2, 2, 2, 3)	        17	        51
       0.0	(1, 2, 2, 2, 3)	         5	        52
       0.0	(1, 2, 2, 2, 3)	         6	        52
       0.0	(1, 2, 2, 2, 3)	         7	        52
     0.002	(1, 2, 2, 2, 3)	         8	        52
     0.006	(1, 2, 2, 2, 3)	         9	        52
     0.012	(1, 2, 2, 2, 3)	        10	        52
     0.012	(1, 2, 2, 2, 3)	        11	        52
     0.008	(1, 2, 2, 2, 3)	        12	        52
     0.024	(1, 2, 2, 2, 3)	        13	        52
      0.02	(1, 2, 2, 2, 3)	        14	        52
     0.028	(1, 2, 2, 2, 3)	        15	        52
     0.056	(1, 2, 2, 2, 3)	        16	        52
     0.056	(1, 2, 2, 2, 3)	        17	        52
     0.018	(2, 2, 3, 4, 4)	         5	        18
       0.1	(2, 2, 3, 4, 4)	         6	        18
     0.198	(2, 2, 3, 4, 4)	         7	        18
     0.308	(2, 2, 3, 4, 4)	         8	        18
     0.428	(2, 2, 3, 4, 4)	         9	        18
     0.564	(2, 2, 3, 4, 4)	        10	        18
     0.718	(2, 2, 3, 4, 4)	        11	        18
     0.736	(2, 2, 3, 4, 4)	        12	        18
     0.852	(2, 2, 3, 4, 4)	        13	        18
     0.908	(2, 2, 3, 4, 4)	        14	        18
     0.974	(2, 2, 3, 4, 4)	        15	        18
      0.99	(2, 2, 3, 4, 4)	        16	        18
       1.0	(2, 2, 3, 4, 4)	        17	        18
     0.014	(2, 2, 3, 4, 4)	         5	        19
      0.06	(2, 2, 3, 4, 4)	         6	        19
     0.182	(2, 2, 3, 4, 4)	         7	        19
      0.25	(2, 2, 3, 4, 4)	         8	        19
       0.4	(2, 2, 3, 4, 4)	         9	        19
     0.494	(2, 2, 3, 4, 4)	        10	        19
     0.576	(2, 2, 3, 4, 4)	        11	        19
     0.714	(2, 2, 3, 4, 4)	        12	        19
     0.814	(2, 2, 3, 4, 4)	        13	        19
     0.836	(2, 2, 3, 4, 4)	        14	        19
      0.92	(2, 2, 3, 4, 4)	        15	        19
      0.98	(2, 2, 3, 4, 4)	        16	        19
      0.99	(2, 2, 3, 4, 4)	        17	        19
      0.01	(2, 2, 3, 4, 4)	         5	        20
      0.06	(2, 2, 3, 4, 4)	         6	        20
     0.122	(2, 2, 3, 4, 4)	         7	        20
     0.194	(2, 2, 3, 4, 4)	         8	        20
     0.316	(2, 2, 3, 4, 4)	         9	        20
      0.43	(2, 2, 3, 4, 4)	        10	        20
     0.516	(2, 2, 3, 4, 4)	        11	        20
     0.696	(2, 2, 3, 4, 4)	        12	        20
     0.736	(2, 2, 3, 4, 4)	        13	        20
     0.804	(2, 2, 3, 4, 4)	        14	        20
      0.88	(2, 2, 3, 4, 4)	        15	        20
     0.934	(2, 2, 3, 4, 4)	        16	        20
     0.966	(2, 2, 3, 4, 4)	        17	        20
     0.008	(2, 2, 3, 4, 4)	         5	        21
     0.024	(2, 2, 3, 4, 4)	         6	        21
     0.092	(2, 2, 3, 4, 4)	         7	        21
     0.178	(2, 2, 3, 4, 4)	         8	        21
     0.262	(2, 2, 3, 4, 4)	         9	        21
      0.37	(2, 2, 3, 4, 4)	        10	        21
     0.492	(2, 2, 3, 4, 4)	        11	        21
     0.588	(2, 2, 3, 4, 4)	        12	        21
     0.686	(2, 2, 3, 4, 4)	        13	        21
     0.794	(2, 2, 3, 4, 4)	        14	        21
     0.814	(2, 2, 3, 4, 4)	        15	        21
     0.876	(2, 2, 3, 4, 4)	        16	        21
     0.944	(2, 2, 3, 4, 4)	        17	        21
     0.014	(2, 2, 3, 4, 4)	         5	        22
     0.022	(2, 2, 3, 4, 4)	         6	        22
     0.068	(2, 2, 3, 4, 4)	         7	        22
      0.16	(2, 2, 3, 4, 4)	         8	        22
      0.23	(2, 2, 3, 4, 4)	         9	        22
     0.332	(2, 2, 3, 4, 4)	        10	        22
     0.454	(2, 2, 3, 4, 4)	        11	        22
     0.542	(2, 2, 3, 4, 4)	        12	        22
     0.656	(2, 2, 3, 4, 4)	        13	        22
     0.756	(2, 2, 3, 4, 4)	        14	        22
     0.806	(2, 2, 3, 4, 4)	        15	        22
     0.846	(2, 2, 3, 4, 4)	        16	        22
     0.908	(2, 2, 3, 4, 4)	        17	        22
     0.008	(2, 2, 3, 4, 4)	         5	        23
     0.016	(2, 2, 3, 4, 4)	         6	        23
     0.068	(2, 2, 3, 4, 4)	         7	        23
     0.122	(2, 2, 3, 4, 4)	         8	        23
     0.216	(2, 2, 3, 4, 4)	         9	        23
     0.244	(2, 2, 3, 4, 4)	        10	        23
     0.388	(2, 2, 3, 4, 4)	        11	        23
     0.458	(2, 2, 3, 4, 4)	        12	        23
     0.586	(2, 2, 3, 4, 4)	        13	        23
     0.634	(2, 2, 3, 4, 4)	        14	        23
     0.736	(2, 2, 3, 4, 4)	        15	        23
     0.856	(2, 2, 3, 4, 4)	        16	        23
     0.882	(2, 2, 3, 4, 4)	        17	        23
     0.006	(2, 2, 3, 4, 4)	         5	        24
     0.024	(2, 2, 3, 4, 4)	         6	        24
     0.052	(2, 2, 3, 4, 4)	         7	        24
     0.096	(2, 2, 3, 4, 4)	         8	        24
      0.15	(2, 2, 3, 4, 4)	         9	        24
      0.27	(2, 2, 3, 4, 4)	        10	        24
     0.334	(2, 2, 3, 4, 4)	        11	        24
     0.428	(2, 2, 3, 4, 4)	        12	        24
     0.488	(2, 2, 3, 4, 4)	        13	        24
     0.614	(2, 2, 3, 4, 4)	        14	        24
      0.69	(2, 2, 3, 4, 4)	        15	        24
     0.758	(2, 2, 3, 4, 4)	        16	        24
      0.84	(2, 2, 3, 4, 4)	        17	        24
     0.004	(2, 2, 3, 4, 4)	         5	        25
     0.012	(2, 2, 3, 4, 4)	         6	        25
     0.046	(2, 2, 3, 4, 4)	         7	        25
     0.106	(2, 2, 3, 4, 4)	         8	        25
     0.154	(2, 2, 3, 4, 4)	         9	        25
     0.234	(2, 2, 3, 4, 4)	        10	        25
     0.324	(2, 2, 3, 4, 4)	        11	        25
     0.362	(2, 2, 3, 4, 4)	        12	        25
     0.482	(2, 2, 3, 4, 4)	        13	        25
     0.524	(2, 2, 3, 4, 4)	        14	        25
     0.656	(2, 2, 3, 4, 4)	        15	        25
     0.752	(2, 2, 3, 4, 4)	        16	        25
     0.818	(2, 2, 3, 4, 4)	        17	        25
     0.002	(2, 2, 3, 4, 4)	         5	        26
     0.012	(2, 2, 3, 4, 4)	         6	        26
     0.032	(2, 2, 3, 4, 4)	         7	        26
     0.072	(2, 2, 3, 4, 4)	         8	        26
     0.118	(2, 2, 3, 4, 4)	         9	        26
     0.204	(2, 2, 3, 4, 4)	        10	        26
     0.268	(2, 2, 3, 4, 4)	        11	        26
     0.354	(2, 2, 3, 4, 4)	        12	        26
     0.432	(2, 2, 3, 4, 4)	        13	        26
     0.526	(2, 2, 3, 4, 4)	        14	        26
      0.55	(2, 2, 3, 4, 4)	        15	        26
     0.644	(2, 2, 3, 4, 4)	        16	        26
     0.744	(2, 2, 3, 4, 4)	        17	        26
       0.0	(2, 2, 3, 4, 4)	         5	        27
      0.01	(2, 2, 3, 4, 4)	         6	        27
     0.042	(2, 2, 3, 4, 4)	         7	        27
      0.06	(2, 2, 3, 4, 4)	         8	        27
      0.13	(2, 2, 3, 4, 4)	         9	        27
     0.162	(2, 2, 3, 4, 4)	        10	        27
      0.23	(2, 2, 3, 4, 4)	        11	        27
     0.322	(2, 2, 3, 4, 4)	        12	        27
     0.394	(2, 2, 3, 4, 4)	        13	        27
     0.516	(2, 2, 3, 4, 4)	        14	        27
     0.542	(2, 2, 3, 4, 4)	        15	        27
     0.628	(2, 2, 3, 4, 4)	        16	        27
     0.702	(2, 2, 3, 4, 4)	        17	        27
       0.0	(2, 2, 3, 4, 4)	         5	        28
     0.014	(2, 2, 3, 4, 4)	         6	        28
     0.024	(2, 2, 3, 4, 4)	         7	        28
     0.078	(2, 2, 3, 4, 4)	         8	        28
     0.106	(2, 2, 3, 4, 4)	         9	        28
     0.108	(2, 2, 3, 4, 4)	        10	        28
     0.208	(2, 2, 3, 4, 4)	        11	        28
      0.23	(2, 2, 3, 4, 4)	        12	        28
     0.366	(2, 2, 3, 4, 4)	        13	        28
      0.44	(2, 2, 3, 4, 4)	        14	        28
     0.476	(2, 2, 3, 4, 4)	        15	        28
     0.596	(2, 2, 3, 4, 4)	        16	        28
     0.646	(2, 2, 3, 4, 4)	        17	        28
       0.0	(2, 2, 3, 4, 4)	         5	        29
     0.014	(2, 2, 3, 4, 4)	         6	        29
     0.026	(2, 2, 3, 4, 4)	         7	        29
      0.05	(2, 2, 3, 4, 4)	         8	        29
     0.076	(2, 2, 3, 4, 4)	         9	        29
      0.14	(2, 2, 3, 4, 4)	        10	        29
     0.166	(2, 2, 3, 4, 4)	        11	        29
     0.242	(2, 2, 3, 4, 4)	        12	        29
     0.312	(2, 2, 3, 4, 4)	        13	        29
     0.396	(2, 2, 3, 4, 4)	        14	        29
      0.47	(2, 2, 3, 4, 4)	        15	        29
      0.53	(2, 2, 3, 4, 4)	        16	        29
      0.64	(2, 2, 3, 4, 4)	        17	        29
     0.002	(2, 2, 3, 4, 4)	         5	        30
     0.006	(2, 2, 3, 4, 4)	         6	        30
     0.022	(2, 2, 3, 4, 4)	         7	        30
     0.044	(2, 2, 3, 4, 4)	         8	        30
      0.08	(2, 2, 3, 4, 4)	         9	        30
     0.104	(2, 2, 3, 4, 4)	        10	        30
     0.156	(2, 2, 3, 4, 4)	        11	        30
     0.234	(2, 2, 3, 4, 4)	        12	        30
      0.29	(2, 2, 3, 4, 4)	        13	        30
     0.406	(2, 2, 3, 4, 4)	        14	        30
     0.438	(2, 2, 3, 4, 4)	        15	        30
     0.504	(2, 2, 3, 4, 4)	        16	        30
     0.598	(2, 2, 3, 4, 4)	        17	        30
     0.002	(2, 2, 3, 4, 4)	         5	        31
     0.006	(2, 2, 3, 4, 4)	         6	        31
     0.014	(2, 2, 3, 4, 4)	         7	        31
     0.024	(2, 2, 3, 4, 4)	         8	        31
     0.064	(2, 2, 3, 4, 4)	         9	        31
     0.096	(2, 2, 3, 4, 4)	        10	        31
     0.148	(2, 2, 3, 4, 4)	        11	        31
     0.204	(2, 2, 3, 4, 4)	        12	        31
     0.282	(2, 2, 3, 4, 4)	        13	        31
     0.378	(2, 2, 3, 4, 4)	        14	        31
     0.392	(2, 2, 3, 4, 4)	        15	        31
     0.524	(2, 2, 3, 4, 4)	        16	        31
     0.528	(2, 2, 3, 4, 4)	        17	        31
     0.002	(2, 2, 3, 4, 4)	         5	        32
     0.012	(2, 2, 3, 4, 4)	         6	        32
     0.008	(2, 2, 3, 4, 4)	         7	        32
     0.034	(2, 2, 3, 4, 4)	         8	        32
     0.036	(2, 2, 3, 4, 4)	         9	        32
     0.112	(2, 2, 3, 4, 4)	        10	        32
     0.136	(2, 2, 3, 4, 4)	        11	        32
      0.18	(2, 2, 3, 4, 4)	        12	        32
      0.21	(2, 2, 3, 4, 4)	        13	        32
     0.286	(2, 2, 3, 4, 4)	        14	        32
     0.354	(2, 2, 3, 4, 4)	        15	        32
      0.45	(2, 2, 3, 4, 4)	        16	        32
      0.52	(2, 2, 3, 4, 4)	        17	        32
     0.002	(2, 2, 3, 4, 4)	         5	        33
     0.002	(2, 2, 3, 4, 4)	         6	        33
     0.018	(2, 2, 3, 4, 4)	         7	        33
     0.034	(2, 2, 3, 4, 4)	         8	        33
     0.052	(2, 2, 3, 4, 4)	         9	        33
     0.084	(2, 2, 3, 4, 4)	        10	        33
     0.122	(2, 2, 3, 4, 4)	        11	        33
     0.126	(2, 2, 3, 4, 4)	        12	        33
     0.198	(2, 2, 3, 4, 4)	        13	        33
     0.272	(2, 2, 3, 4, 4)	        14	        33
      0.33	(2, 2, 3, 4, 4)	        15	        33
     0.336	(2, 2, 3, 4, 4)	        16	        33
     0.486	(2, 2, 3, 4, 4)	        17	        33
       0.0	(2, 2, 3, 4, 4)	         5	        34
     0.004	(2, 2, 3, 4, 4)	         6	        34
     0.014	(2, 2, 3, 4, 4)	         7	        34
     0.014	(2, 2, 3, 4, 4)	         8	        34
      0.05	(2, 2, 3, 4, 4)	         9	        34
     0.062	(2, 2, 3, 4, 4)	        10	        34
     0.112	(2, 2, 3, 4, 4)	        11	        34
      0.13	(2, 2, 3, 4, 4)	        12	        34
     0.216	(2, 2, 3, 4, 4)	        13	        34
     0.256	(2, 2, 3, 4, 4)	        14	        34
     0.298	(2, 2, 3, 4, 4)	        15	        34
      0.34	(2, 2, 3, 4, 4)	        16	        34
     0.428	(2, 2, 3, 4, 4)	        17	        34
     0.002	(2, 2, 3, 4, 4)	         5	        35
       0.0	(2, 2, 3, 4, 4)	         6	        35
      0.01	(2, 2, 3, 4, 4)	         7	        35
     0.018	(2, 2, 3, 4, 4)	         8	        35
      0.02	(2, 2, 3, 4, 4)	         9	        35
     0.058	(2, 2, 3, 4, 4)	        10	        35
       0.1	(2, 2, 3, 4, 4)	        11	        35
     0.124	(2, 2, 3, 4, 4)	        12	        35
     0.194	(2, 2, 3, 4, 4)	        13	        35
     0.236	(2, 2, 3, 4, 4)	        14	        35
     0.292	(2, 2, 3, 4, 4)	        15	        35
      0.32	(2, 2, 3, 4, 4)	        16	        35
     0.408	(2, 2, 3, 4, 4)	        17	        35
       0.0	(2, 2, 3, 4, 4)	         5	        36
     0.006	(2, 2, 3, 4, 4)	         6	        36
     0.004	(2, 2, 3, 4, 4)	         7	        36
      0.01	(2, 2, 3, 4, 4)	         8	        36
     0.062	(2, 2, 3, 4, 4)	         9	        36
     0.042	(2, 2, 3, 4, 4)	        10	        36
      0.09	(2, 2, 3, 4, 4)	        11	        36
     0.108	(2, 2, 3, 4, 4)	        12	        36
      0.16	(2, 2, 3, 4, 4)	        13	        36
       0.2	(2, 2, 3, 4, 4)	        14	        36
     0.286	(2, 2, 3, 4, 4)	        15	        36
     0.284	(2, 2, 3, 4, 4)	        16	        36
     0.336	(2, 2, 3, 4, 4)	        17	        36
       0.0	(2, 2, 3, 4, 4)	         5	        37
     0.004	(2, 2, 3, 4, 4)	         6	        37
     0.002	(2, 2, 3, 4, 4)	         7	        37
     0.012	(2, 2, 3, 4, 4)	         8	        37
     0.032	(2, 2, 3, 4, 4)	         9	        37
     0.044	(2, 2, 3, 4, 4)	        10	        37
       0.1	(2, 2, 3, 4, 4)	        11	        37
     0.128	(2, 2, 3, 4, 4)	        12	        37
     0.154	(2, 2, 3, 4, 4)	        13	        37
     0.196	(2, 2, 3, 4, 4)	        14	        37
     0.248	(2, 2, 3, 4, 4)	        15	        37
      0.32	(2, 2, 3, 4, 4)	        16	        37
     0.402	(2, 2, 3, 4, 4)	        17	        37
       0.0	(2, 2, 3, 4, 4)	         5	        38
       0.0	(2, 2, 3, 4, 4)	         6	        38
     0.016	(2, 2, 3, 4, 4)	         7	        38
     0.004	(2, 2, 3, 4, 4)	         8	        38
     0.018	(2, 2, 3, 4, 4)	         9	        38
     0.046	(2, 2, 3, 4, 4)	        10	        38
     0.044	(2, 2, 3, 4, 4)	        11	        38
     0.112	(2, 2, 3, 4, 4)	        12	        38
      0.12	(2, 2, 3, 4, 4)	        13	        38
     0.136	(2, 2, 3, 4, 4)	        14	        38
     0.258	(2, 2, 3, 4, 4)	        15	        38
     0.274	(2, 2, 3, 4, 4)	        16	        38
     0.322	(2, 2, 3, 4, 4)	        17	        38
       0.0	(2, 2, 3, 4, 4)	         5	        39
     0.002	(2, 2, 3, 4, 4)	         6	        39
     0.008	(2, 2, 3, 4, 4)	         7	        39
     0.012	(2, 2, 3, 4, 4)	         8	        39
     0.026	(2, 2, 3, 4, 4)	         9	        39
     0.034	(2, 2, 3, 4, 4)	        10	        39
     0.054	(2, 2, 3, 4, 4)	        11	        39
     0.104	(2, 2, 3, 4, 4)	        12	        39
     0.106	(2, 2, 3, 4, 4)	        13	        39
     0.174	(2, 2, 3, 4, 4)	        14	        39
     0.224	(2, 2, 3, 4, 4)	        15	        39
     0.256	(2, 2, 3, 4, 4)	        16	        39
     0.292	(2, 2, 3, 4, 4)	        17	        39
       0.0	(2, 2, 3, 4, 4)	         5	        40
       0.0	(2, 2, 3, 4, 4)	         6	        40
     0.004	(2, 2, 3, 4, 4)	         7	        40
     0.008	(2, 2, 3, 4, 4)	         8	        40
      0.03	(2, 2, 3, 4, 4)	         9	        40
      0.03	(2, 2, 3, 4, 4)	        10	        40
     0.056	(2, 2, 3, 4, 4)	        11	        40
     0.084	(2, 2, 3, 4, 4)	        12	        40
       0.1	(2, 2, 3, 4, 4)	        13	        40
      0.15	(2, 2, 3, 4, 4)	        14	        40
     0.182	(2, 2, 3, 4, 4)	        15	        40
     0.238	(2, 2, 3, 4, 4)	        16	        40
     0.262	(2, 2, 3, 4, 4)	        17	        40
       0.0	(2, 2, 3, 4, 4)	         5	        41
       0.0	(2, 2, 3, 4, 4)	         6	        41
       0.0	(2, 2, 3, 4, 4)	         7	        41
     0.012	(2, 2, 3, 4, 4)	         8	        41
     0.012	(2, 2, 3, 4, 4)	         9	        41
      0.03	(2, 2, 3, 4, 4)	        10	        41
     0.036	(2, 2, 3, 4, 4)	        11	        41
     0.058	(2, 2, 3, 4, 4)	        12	        41
      0.11	(2, 2, 3, 4, 4)	        13	        41
     0.134	(2, 2, 3, 4, 4)	        14	        41
     0.208	(2, 2, 3, 4, 4)	        15	        41
     0.226	(2, 2, 3, 4, 4)	        16	        41
     0.268	(2, 2, 3, 4, 4)	        17	        41
       0.0	(2, 2, 3, 4, 4)	         5	        42
       0.0	(2, 2, 3, 4, 4)	         6	        42
     0.004	(2, 2, 3, 4, 4)	         7	        42
     0.002	(2, 2, 3, 4, 4)	         8	        42
     0.012	(2, 2, 3, 4, 4)	         9	        42
     0.018	(2, 2, 3, 4, 4)	        10	        42
      0.04	(2, 2, 3, 4, 4)	        11	        42
     0.066	(2, 2, 3, 4, 4)	        12	        42
     0.088	(2, 2, 3, 4, 4)	        13	        42
      0.11	(2, 2, 3, 4, 4)	        14	        42
     0.156	(2, 2, 3, 4, 4)	        15	        42
     0.178	(2, 2, 3, 4, 4)	        16	        42
     0.244	(2, 2, 3, 4, 4)	        17	        42
       0.0	(2, 2, 3, 4, 4)	         5	        43
     0.002	(2, 2, 3, 4, 4)	         6	        43
     0.006	(2, 2, 3, 4, 4)	         7	        43
     0.004	(2, 2, 3, 4, 4)	         8	        43
      0.01	(2, 2, 3, 4, 4)	         9	        43
      0.02	(2, 2, 3, 4, 4)	        10	        43
     0.038	(2, 2, 3, 4, 4)	        11	        43
     0.052	(2, 2, 3, 4, 4)	        12	        43
     0.052	(2, 2, 3, 4, 4)	        13	        43
      0.12	(2, 2, 3, 4, 4)	        14	        43
     0.146	(2, 2, 3, 4, 4)	        15	        43
      0.19	(2, 2, 3, 4, 4)	        16	        43
     0.228	(2, 2, 3, 4, 4)	        17	        43
       0.0	(2, 2, 3, 4, 4)	         5	        44
       0.0	(2, 2, 3, 4, 4)	         6	        44
      0.01	(2, 2, 3, 4, 4)	         7	        44
       0.0	(2, 2, 3, 4, 4)	         8	        44
      0.01	(2, 2, 3, 4, 4)	         9	        44
      0.02	(2, 2, 3, 4, 4)	        10	        44
      0.04	(2, 2, 3, 4, 4)	        11	        44
     0.072	(2, 2, 3, 4, 4)	        12	        44
      0.07	(2, 2, 3, 4, 4)	        13	        44
     0.098	(2, 2, 3, 4, 4)	        14	        44
      0.11	(2, 2, 3, 4, 4)	        15	        44
     0.148	(2, 2, 3, 4, 4)	        16	        44
     0.228	(2, 2, 3, 4, 4)	        17	        44
       0.0	(2, 2, 3, 4, 4)	         5	        45
       0.0	(2, 2, 3, 4, 4)	         6	        45
       0.0	(2, 2, 3, 4, 4)	         7	        45
     0.002	(2, 2, 3, 4, 4)	         8	        45
      0.01	(2, 2, 3, 4, 4)	         9	        45
     0.028	(2, 2, 3, 4, 4)	        10	        45
     0.024	(2, 2, 3, 4, 4)	        11	        45
     0.034	(2, 2, 3, 4, 4)	        12	        45
     0.064	(2, 2, 3, 4, 4)	        13	        45
     0.084	(2, 2, 3, 4, 4)	        14	        45
      0.16	(2, 2, 3, 4, 4)	        15	        45
     0.132	(2, 2, 3, 4, 4)	        16	        45
     0.176	(2, 2, 3, 4, 4)	        17	        45
       0.0	(2, 2, 3, 4, 4)	         5	        46
     0.002	(2, 2, 3, 4, 4)	         6	        46
     0.004	(2, 2, 3, 4, 4)	         7	        46
     0.004	(2, 2, 3, 4, 4)	         8	        46
     0.006	(2, 2, 3, 4, 4)	         9	        46
     0.018	(2, 2, 3, 4, 4)	        10	        46
     0.032	(2, 2, 3, 4, 4)	        11	        46
     0.044	(2, 2, 3, 4, 4)	        12	        46
     0.064	(2, 2, 3, 4, 4)	        13	        46
      0.09	(2, 2, 3, 4, 4)	        14	        46
     0.102	(2, 2, 3, 4, 4)	        15	        46
      0.14	(2, 2, 3, 4, 4)	        16	        46
     0.198	(2, 2, 3, 4, 4)	        17	        46
       0.0	(2, 2, 3, 4, 4)	         5	        47
       0.0	(2, 2, 3, 4, 4)	         6	        47
     0.004	(2, 2, 3, 4, 4)	         7	        47
     0.004	(2, 2, 3, 4, 4)	         8	        47
     0.014	(2, 2, 3, 4, 4)	         9	        47
     0.022	(2, 2, 3, 4, 4)	        10	        47
     0.022	(2, 2, 3, 4, 4)	        11	        47
     0.064	(2, 2, 3, 4, 4)	        12	        47
     0.052	(2, 2, 3, 4, 4)	        13	        47
      0.08	(2, 2, 3, 4, 4)	        14	        47
     0.112	(2, 2, 3, 4, 4)	        15	        47
     0.146	(2, 2, 3, 4, 4)	        16	        47
     0.148	(2, 2, 3, 4, 4)	        17	        47
       0.0	(2, 2, 3, 4, 4)	         5	        48
     0.002	(2, 2, 3, 4, 4)	         6	        48
     0.004	(2, 2, 3, 4, 4)	         7	        48
       0.0	(2, 2, 3, 4, 4)	         8	        48
     0.006	(2, 2, 3, 4, 4)	         9	        48
     0.018	(2, 2, 3, 4, 4)	        10	        48
      0.03	(2, 2, 3, 4, 4)	        11	        48
     0.038	(2, 2, 3, 4, 4)	        12	        48
     0.042	(2, 2, 3, 4, 4)	        13	        48
      0.09	(2, 2, 3, 4, 4)	        14	        48
     0.098	(2, 2, 3, 4, 4)	        15	        48
     0.108	(2, 2, 3, 4, 4)	        16	        48
     0.152	(2, 2, 3, 4, 4)	        17	        48
       0.0	(2, 2, 3, 4, 4)	         5	        49
       0.0	(2, 2, 3, 4, 4)	         6	        49
     0.006	(2, 2, 3, 4, 4)	         7	        49
     0.006	(2, 2, 3, 4, 4)	         8	        49
     0.002	(2, 2, 3, 4, 4)	         9	        49
     0.008	(2, 2, 3, 4, 4)	        10	        49
      0.03	(2, 2, 3, 4, 4)	        11	        49
      0.05	(2, 2, 3, 4, 4)	        12	        49
     0.048	(2, 2, 3, 4, 4)	        13	        49
     0.078	(2, 2, 3, 4, 4)	        14	        49
     0.092	(2, 2, 3, 4, 4)	        15	        49
     0.158	(2, 2, 3, 4, 4)	        16	        49
     0.162	(2, 2, 3, 4, 4)	        17	        49
       0.0	(2, 2, 3, 4, 4)	         5	        50
       0.0	(2, 2, 3, 4, 4)	         6	        50
       0.0	(2, 2, 3, 4, 4)	         7	        50
     0.004	(2, 2, 3, 4, 4)	         8	        50
     0.008	(2, 2, 3, 4, 4)	         9	        50
      0.01	(2, 2, 3, 4, 4)	        10	        50
      0.03	(2, 2, 3, 4, 4)	        11	        50
     0.054	(2, 2, 3, 4, 4)	        12	        50
     0.052	(2, 2, 3, 4, 4)	        13	        50
     0.064	(2, 2, 3, 4, 4)	        14	        50
      0.11	(2, 2, 3, 4, 4)	        15	        50
      0.13	(2, 2, 3, 4, 4)	        16	        50
      0.16	(2, 2, 3, 4, 4)	        17	        50
       0.0	(2, 2, 3, 4, 4)	         5	        51
       0.0	(2, 2, 3, 4, 4)	         6	        51
       0.0	(2, 2, 3, 4, 4)	         7	        51
     0.006	(2, 2, 3, 4, 4)	         8	        51
     0.012	(2, 2, 3, 4, 4)	         9	        51
     0.018	(2, 2, 3, 4, 4)	        10	        51
     0.034	(2, 2, 3, 4, 4)	        11	        51
