probability	multiplicity	num_to_draw	deck_size
     0.162	(1, 1, 1, 2, 3)	        16	        25
      0.25	(1, 1, 1, 2, 3)	        17	        25
       0.0	(1, 1, 1, 2, 3)	         5	        26
       0.0	(1, 1, 1, 2, 3)	         6	        26
       0.0	(1, 1, 1, 2, 3)	         7	        26
     0.002	(1, 1, 1, 2, 3)	         8	        26
     0.004	(1, 1, 1, 2, 3)	         9	        26
     0.018	(1, 1, 1, 2, 3)	        10	        26
     0.024	(1, 1, 1, 2, 3)	        11	        26
     0.034	(1, 1, 1, 2, 3)	        12	        26
     0.086	(1, 1, 1, 2, 3)	        13	        26
     0.076	(1, 1, 1, 2, 3)	        14	        26
     0.118	(1, 1, 1, 2, 3)	        15	        26
     0.174	(1, 1, 1, 2, 3)	        16	        26
     0.208	(1, 1, 1, 2, 3)	        17	        26
       0.0	(1, 1, 1, 2, 3)	         5	        27
       0.0	(1, 1, 1, 2, 3)	         6	        27
       0.0	(1, 1, 1, 2, 3)	         7	        27
     0.002	(1, 1, 1, 2, 3)	         8	        27
     0.012	(1, 1, 1, 2, 3)	         9	        27
     0.008	(1, 1, 1, 2, 3)	        10	        27
     0.022	(1, 1, 1, 2, 3)	        11	        27
     0.048	(1, 1, 1, 2, 3)	        12	        27
     0.046	(1, 1, 1, 2, 3)	        13	        27
     0.072	(1, 1, 1, 2, 3)	        14	        27
     0.112	(1, 1, 1, 2, 3)	        15	        27
     0.126	(1, 1, 1, 2, 3)	        16	        27
     0.194	(1, 1, 1, 2, 3)	        17	        27
       0.0	(1, 1, 1, 2, 3)	         5	        28
     0.002	(1, 1, 1, 2, 3)	         6	        28
       0.0	(1, 1, 1, 2, 3)	         7	        28
     0.002	(1, 1, 1, 2, 3)	         8	        28
     0.004	(1, 1, 1, 2, 3)	         9	        28
     0.006	(1, 1, 1, 2, 3)	        10	        28
     0.016	(1, 1, 1, 2, 3)	        11	        28
      0.03	(1, 1, 1, 2, 3)	        12	        28
     0.036	(1, 1, 1, 2, 3)	        13	        28
     0.074	(1, 1, 1, 2, 3)	        14	        28
     0.078	(1, 1, 1, 2, 3)	        15	        28
      0.13	(1, 1, 1, 2, 3)	        16	        28
     0.156	(1, 1, 1, 2, 3)	        17	        28
       0.0	(1, 1, 1, 2, 3)	         5	        29
       0.0	(1, 1, 1, 2, 3)	         6	        29
     0.002	(1, 1, 1, 2, 3)	         7	        29
       0.0	(1, 1, 1, 2, 3)	         8	        29
     0.002	(1, 1, 1, 2, 3)	         9	        29
       0.0	(1, 1, 1, 2, 3)	        10	        29
     0.018	(1, 1, 1, 2, 3)	        11	        29
      0.03	(1, 1, 1, 2, 3)	        12	        29
      0.03	(1, 1, 1, 2, 3)	        13	        29
     0.058	(1, 1, 1, 2, 3)	        14	        29
     0.078	(1, 1, 1, 2, 3)	        15	        29
     0.128	(1, 1, 1, 2, 3)	        16	        29
     0.136	(1, 1, 1, 2, 3)	        17	        29
       0.0	(1, 1, 1, 2, 3)	         5	        30
       0.0	(1, 1, 1, 2, 3)	         6	        30
     0.002	(1, 1, 1, 2, 3)	         7	        30
       0.0	(1, 1, 1, 2, 3)	         8	        30
     0.002	(1, 1, 1, 2, 3)	         9	        30
     0.004	(1, 1, 1, 2, 3)	        10	        30
     0.018	(1, 1, 1, 2, 3)	        11	        30
      0.02	(1, 1, 1, 2, 3)	        12	        30
     0.032	(1, 1, 1, 2, 3)	        13	        30
      0.04	(1, 1, 1, 2, 3)	        14	        30
     0.064	(1, 1, 1, 2, 3)	        15	        30
     0.094	(1, 1, 1, 2, 3)	        16	        30
     0.136	(1, 1, 1, 2, 3)	        17	        30
       0.0	(1, 1, 1, 2, 3)	         5	        31
       0.0	(1, 1, 1, 2, 3)	         6	        31
       0.0	(1, 1, 1, 2, 3)	         7	        31
     0.006	(1, 1, 1, 2, 3)	         8	        31
     0.002	(1, 1, 1, 2, 3)	         9	        31
     0.008	(1, 1, 1, 2, 3)	        10	        31
      0.01	(1, 1, 1, 2, 3)	        11	        31
      0.01	(1, 1, 1, 2, 3)	        12	        31
     0.028	(1, 1, 1, 2, 3)	        13	        31
     0.046	(1, 1, 1, 2, 3)	        14	        31
     0.048	(1, 1, 1, 2, 3)	        15	        31
     0.078	(1, 1, 1, 2, 3)	        16	        31
     0.104	(1, 1, 1, 2, 3)	        17	        31
       0.0	(1, 1, 1, 2, 3)	         5	        32
       0.0	(1, 1, 1, 2, 3)	         6	        32
       0.0	(1, 1, 1, 2, 3)	         7	        32
     0.002	(1, 1, 1, 2, 3)	         8	        32
     0.004	(1, 1, 1, 2, 3)	         9	        32
     0.014	(1, 1, 1, 2, 3)	        10	        32
     0.018	(1, 1, 1, 2, 3)	        11	        32
      0.01	(1, 1, 1, 2, 3)	        12	        32
     0.016	(1, 1, 1, 2, 3)	        13	        32
     0.028	(1, 1, 1, 2, 3)	        14	        32
     0.044	(1, 1, 1, 2, 3)	        15	        32
     0.048	(1, 1, 1, 2, 3)	        16	        32
      0.07	(1, 1, 1, 2, 3)	        17	        32
       0.0	(1, 1, 1, 2, 3)	         5	        33
       0.0	(1, 1, 1, 2, 3)	         6	        33
     0.002	(1, 1, 1, 2, 3)	         7	        33
       0.0	(1, 1, 1, 2, 3)	         8	        33
       0.0	(1, 1, 1, 2, 3)	         9	        33
     0.008	(1, 1, 1, 2, 3)	        10	        33
     0.008	(1, 1, 1, 2, 3)	        11	        33
     0.006	(1, 1, 1, 2, 3)	        12	        33
     0.022	(1, 1, 1, 2, 3)	        13	        33
     0.058	(1, 1, 1, 2, 3)	        14	        33
     0.046	(1, 1, 1, 2, 3)	        15	        33
     0.036	(1, 1, 1, 2, 3)	        16	        33
     0.066	(1, 1, 1, 2, 3)	        17	        33
       0.0	(1, 1, 1, 2, 3)	         5	        34
       0.0	(1, 1, 1, 2, 3)	         6	        34
       0.0	(1, 1, 1, 2, 3)	         7	        34
     0.002	(1, 1, 1, 2, 3)	         8	        34
     0.002	(1, 1, 1, 2, 3)	         9	        34
      0.01	(1, 1, 1, 2, 3)	        10	        34
     0.012	(1, 1, 1, 2, 3)	        11	        34
     0.016	(1, 1, 1, 2, 3)	        12	        34
     0.022	(1, 1, 1, 2, 3)	        13	        34
     0.026	(1, 1, 1, 2, 3)	        14	        34
     0.036	(1, 1, 1, 2, 3)	        15	        34
     0.054	(1, 1, 1, 2, 3)	        16	        34
      0.09	(1, 1, 1, 2, 3)	        17	        34
       0.0	(1, 1, 1, 2, 3)	         5	        35
       0.0	(1, 1, 1, 2, 3)	         6	        35
     0.002	(1, 1, 1, 2, 3)	         7	        35
       0.0	(1, 1, 1, 2, 3)	         8	        35
     0.004	(1, 1, 1, 2, 3)	         9	        35
       0.0	(1, 1, 1, 2, 3)	        10	        35
     0.006	(1, 1, 1, 2, 3)	        11	        35
     0.008	(1, 1, 1, 2, 3)	        12	        35
     0.026	(1, 1, 1, 2, 3)	        13	        35
     0.028	(1, 1, 1, 2, 3)	        14	        35
     0.036	(1, 1, 1, 2, 3)	        15	        35
      0.05	(1, 1, 1, 2, 3)	        16	        35
     0.068	(1, 1, 1, 2, 3)	        17	        35
       0.0	(1, 1, 1, 2, 3)	         5	        36
       0.0	(1, 1, 1, 2, 3)	         6	        36
       0.0	(1, 1, 1, 2, 3)	         7	        36
       0.0	(1, 1, 1, 2, 3)	         8	        36
     0.002	(1, 1, 1, 2, 3)	         9	        36
     0.004	(1, 1, 1, 2, 3)	        10	        36
     0.004	(1, 1, 1, 2, 3)	        11	        36
     0.002	(1, 1, 1, 2, 3)	        12	        36
     0.018	(1, 1, 1, 2, 3)	        13	        36
     0.022	(1, 1, 1, 2, 3)	        14	        36
     0.036	(1, 1, 1, 2, 3)	        15	        36
     0.034	(1, 1, 1, 2, 3)	        16	        36
      0.05	(1, 1, 1, 2, 3)	        17	        36
       0.0	(1, 1, 1, 2, 3)	         5	        37
       0.0	(1, 1, 1, 2, 3)	         6	        37
       0.0	(1, 1, 1, 2, 3)	         7	        37
       0.0	(1, 1, 1, 2, 3)	         8	        37
     0.002	(1, 1, 1, 2, 3)	         9	        37
       0.0	(1, 1, 1, 2, 3)	        10	        37
     0.008	(1, 1, 1, 2, 3)	        11	        37
      0.01	(1, 1, 1, 2, 3)	        12	        37
     0.008	(1, 1, 1, 2, 3)	        13	        37
     0.014	(1, 1, 1, 2, 3)	        14	        37
     0.032	(1, 1, 1, 2, 3)	        15	        37
     0.036	(1, 1, 1, 2, 3)	        16	        37
      0.03	(1, 1, 1, 2, 3)	        17	        37
       0.0	(1, 1, 1, 2, 3)	         5	        38
       0.0	(1, 1, 1, 2, 3)	         6	        38
       0.0	(1, 1, 1, 2, 3)	         7	        38
       0.0	(1, 1, 1, 2, 3)	         8	        38
       0.0	(1, 1, 1, 2, 3)	         9	        38
     0.008	(1, 1, 1, 2, 3)	        10	        38
       0.0	(1, 1, 1, 2, 3)	        11	        38
     0.006	(1, 1, 1, 2, 3)	        12	        38
     0.016	(1, 1, 1, 2, 3)	        13	        38
      0.02	(1, 1, 1, 2, 3)	        14	        38
     0.016	(1, 1, 1, 2, 3)	        15	        38
     0.042	(1, 1, 1, 2, 3)	        16	        38
     0.036	(1, 1, 1, 2, 3)	        17	        38
       0.0	(1, 1, 1, 2, 3)	         5	        39
       0.0	(1, 1, 1, 2, 3)	         6	        39
       0.0	(1, 1, 1, 2, 3)	         7	        39
       0.0	(1, 1, 1, 2, 3)	         8	        39
       0.0	(1, 1, 1, 2, 3)	         9	        39
       0.0	(1, 1, 1, 2, 3)	        10	        39
     0.008	(1, 1, 1, 2, 3)	        11	        39
      0.01	(1, 1, 1, 2, 3)	        12	        39
     0.008	(1, 1, 1, 2, 3)	        13	        39
     0.024	(1, 1, 1, 2, 3)	        14	        39
     0.018	(1, 1, 1, 2, 3)	        15	        39
     0.016	(1, 1, 1, 2, 3)	        16	        39
     0.046	(1, 1, 1, 2, 3)	        17	        39
       0.0	(1, 1, 1, 2, 3)	         5	        40
       0.0	(1, 1, 1, 2, 3)	         6	        40
       0.0	(1, 1, 1, 2, 3)	         7	        40
     0.002	(1, 1, 1, 2, 3)	         8	        40
     0.002	(1, 1, 1, 2, 3)	         9	        40
     0.006	(1, 1, 1, 2, 3)	        10	        40
     0.004	(1, 1, 1, 2, 3)	        11	        40
     0.002	(1, 1, 1, 2, 3)	        12	        40
     0.008	(1, 1, 1, 2, 3)	        13	        40
     0.008	(1, 1, 1, 2, 3)	        14	        40
      0.02	(1, 1, 1, 2, 3)	        15	        40
     0.012	(1, 1, 1, 2, 3)	        16	        40
     0.026	(1, 1, 1, 2, 3)	        17	        40
       0.0	(1, 1, 1, 2, 3)	         5	        41
       0.0	(1, 1, 1, 2, 3)	         6	        41
       0.0	(1, 1, 1, 2, 3)	         7	        41
       0.0	(1, 1, 1, 2, 3)	         8	        41
       0.0	(1, 1, 1, 2, 3)	         9	        41
     0.004	(1, 1, 1, 2, 3)	        10	        41
     0.002	(1, 1, 1, 2, 3)	        11	        41
     0.004	(1, 1, 1, 2, 3)	        12	        41
     0.006	(1, 1, 1, 2, 3)	        13	        41
     0.008	(1, 1, 1, 2, 3)	        14	        41
      0.02	(1, 1, 1, 2, 3)	        15	        41
     0.032	(1, 1, 1, 2, 3)	        16	        41
     0.032	(1, 1, 1, 2, 3)	        17	        41
       0.0	(1, 1, 1, 2, 3)	         5	        42
     0.002	(1, 1, 1, 2, 3)	         6	        42
       0.0	(1, 1, 1, 2, 3)	         7	        42
       0.0	(1, 1, 1, 2, 3)	         8	        42
     0.002	(1, 1, 1, 2, 3)	         9	        42
       0.0	(1, 1, 1, 2, 3)	        10	        42
       0.0	(1, 1, 1, 2, 3)	        11	        42
     0.008	(1, 1, 1, 2, 3)	        12	        42
     0.002	(1, 1, 1, 2, 3)	        13	        42
     0.014	(1, 1, 1, 2, 3)	        14	        42
     0.024	(1, 1, 1, 2, 3)	        15	        42
     0.028	(1, 1, 1, 2, 3)	        16	        42
      0.04	(1, 1, 1, 2, 3)	        17	        42
       0.0	(1, 1, 1, 2, 3)	         5	        43
     0.002	(1, 1, 1, 2, 3)	         6	        43
       0.0	(1, 1, 1, 2, 3)	         7	        43
       0.0	(1, 1, 1, 2, 3)	         8	        43
       0.0	(1, 1, 1, 2, 3)	         9	        43
       0.0	(1, 1, 1, 2, 3)	        10	        43
     0.002	(1, 1, 1, 2, 3)	        11	        43
     0.004	(1, 1, 1, 2, 3)	        12	        43
     0.012	(1, 1, 1, 2, 3)	        13	        43
     0.012	(1, 1, 1, 2, 3)	        14	        43
     0.016	(1, 1, 1, 2, 3)	        15	        43
     0.024	(1, 1, 1, 2, 3)	        16	        43
     0.042	(1, 1, 1, 2, 3)	        17	        43
       0.0	(1, 1, 1, 2, 3)	         5	        44
       0.0	(1, 1, 1, 2, 3)	         6	        44
     0.002	(1, 1, 1, 2, 3)	         7	        44
       0.0	(1, 1, 1, 2, 3)	         8	        44
       0.0	(1, 1, 1, 2, 3)	         9	        44
     0.002	(1, 1, 1, 2, 3)	        10	        44
       0.0	(1, 1, 1, 2, 3)	        11	        44
     0.004	(1, 1, 1, 2, 3)	        12	        44
      0.01	(1, 1, 1, 2, 3)	        13	        44
     0.014	(1, 1, 1, 2, 3)	        14	        44
     0.014	(1, 1, 1, 2, 3)	        15	        44
     0.026	(1, 1, 1, 2, 3)	        16	        44
     0.032	(1, 1, 1, 2, 3)	        17	        44
       0.0	(1, 1, 1, 2, 3)	         5	        45
       0.0	(1, 1, 1, 2, 3)	         6	        45
       0.0	(1, 1, 1, 2, 3)	         7	        45
       0.0	(1, 1, 1, 2, 3)	         8	        45
       0.0	(1, 1, 1, 2, 3)	         9	        45
     0.002	(1, 1, 1, 2, 3)	        10	        45
     0.002	(1, 1, 1, 2, 3)	        11	        45
       0.0	(1, 1, 1, 2, 3)	        12	        45
     0.006	(1, 1, 1, 2, 3)	        13	        45
     0.018	(1, 1, 1, 2, 3)	        14	        45
      0.02	(1, 1, 1, 2, 3)	        15	        45
      0.03	(1, 1, 1, 2, 3)	        16	        45
      0.02	(1, 1, 1, 2, 3)	        17	        45
       0.0	(1, 1, 1, 2, 3)	         5	        46
       0.0	(1, 1, 1, 2, 3)	         6	        46
       0.0	(1, 1, 1, 2, 3)	         7	        46
       0.0	(1, 1, 1, 2, 3)	         8	        46
       0.0	(1, 1, 1, 2, 3)	         9	        46
     0.004	(1, 1, 1, 2, 3)	        10	        46
     0.004	(1, 1, 1, 2, 3)	        11	        46
     0.002	(1, 1, 1, 2, 3)	        12	        46
     0.004	(1, 1, 1, 2, 3)	        13	        46
     0.012	(1, 1, 1, 2, 3)	        14	        46
     0.018	(1, 1, 1, 2, 3)	        15	        46
     0.032	(1, 1, 1, 2, 3)	        16	        46
     0.042	(1, 1, 1, 2, 3)	        17	        46
       0.0	(1, 1, 1, 2, 3)	         5	        47
       0.0	(1, 1, 1, 2, 3)	         6	        47
       0.0	(1, 1, 1, 2, 3)	         7	        47
       0.0	(1, 1, 1, 2, 3)	         8	        47
       0.0	(1, 1, 1, 2, 3)	         9	        47
       0.0	(1, 1, 1, 2, 3)	        10	        47
     0.002	(1, 1, 1, 2, 3)	        11	        47
       0.0	(1, 1, 1, 2, 3)	        12	        47
     0.004	(1, 1, 1, 2, 3)	        13	        47
     0.012	(1, 1, 1, 2, 3)	        14	        47
      0.02	(1, 1, 1, 2, 3)	        15	        47
     0.018	(1, 1, 1, 2, 3)	        16	        47
     0.028	(1, 1, 1, 2, 3)	        17	        47
       0.0	(1, 1, 1, 2, 3)	         5	        48
       0.0	(1, 1, 1, 2, 3)	         6	        48
       0.0	(1, 1, 1, 2, 3)	         7	        48
       0.0	(1, 1, 1, 2, 3)	         8	        48
     0.002	(1, 1, 1, 2, 3)	         9	        48
     0.006	(1, 1, 1, 2, 3)	        10	        48
       0.0	(1, 1, 1, 2, 3)	        11	        48
     0.006	(1, 1, 1, 2, 3)	        12	        48
     0.002	(1, 1, 1, 2, 3)	        13	        48
     0.006	(1, 1, 1, 2, 3)	        14	        48
     0.026	(1, 1, 1, 2, 3)	        15	        48
     0.016	(1, 1, 1, 2, 3)	        16	        48
     0.038	(1, 1, 1, 2, 3)	        17	        48
       0.0	(1, 1, 1, 2, 3)	         5	        49
       0.0	(1, 1, 1, 2, 3)	         6	        49
       0.0	(1, 1, 1, 2, 3)	         7	        49
       0.0	(1, 1, 1, 2, 3)	         8	        49
       0.0	(1, 1, 1, 2, 3)	         9	        49
     0.006	(1, 1, 1, 2, 3)	        10	        49
     0.006	(1, 1, 1, 2, 3)	        11	        49
     0.008	(1, 1, 1, 2, 3)	        12	        49
     0.004	(1, 1, 1, 2, 3)	        13	        49
     0.006	(1, 1, 1, 2, 3)	        14	        49
      0.02	(1, 1, 1, 2, 3)	        15	        49
     0.018	(1, 1, 1, 2, 3)	        16	        49
      0.03	(1, 1, 1, 2, 3)	        17	        49
       0.0	(1, 1, 1, 2, 3)	         5	        50
       0.0	(1, 1, 1, 2, 3)	         6	        50
       0.0	(1, 1, 1, 2, 3)	         7	        50
       0.0	(1, 1, 1, 2, 3)	         8	        50
     0.006	(1, 1, 1, 2, 3)	         9	        50
     0.002	(1, 1, 1, 2, 3)	        10	        50
     0.004	(1, 1, 1, 2, 3)	        11	        50
      0.01	(1, 1, 1, 2, 3)	        12	        50
     0.006	(1, 1, 1, 2, 3)	        13	        50
     0.012	(1, 1, 1, 2, 3)	        14	        50
      0.01	(1, 1, 1, 2, 3)	        15	        50
     0.024	(1, 1, 1, 2, 3)	        16	        50
     0.034	(1, 1, 1, 2, 3)	        17	        50
       0.0	(1, 1, 1, 2, 3)	         5	        51
       0.0	(1, 1, 1, 2, 3)	         6	        51
       0.0	(1, 1, 1, 2, 3)	         7	        51
       0.0	(1, 1, 1, 2, 3)	         8	        51
     0.002	(1, 1, 1, 2, 3)	         9	        51
       0.0	(1, 1, 1, 2, 3)	        10	        51
     0.004	(1, 1, 1, 2, 3)	        11	        51
     0.008	(1, 1, 1, 2, 3)	        12	        51
     0.008	(1, 1, 1, 2, 3)	        13	        51
      0.01	(1, 1, 1, 2, 3)	        14	        51
     0.024	(1, 1, 1, 2, 3)	        15	        51
     0.028	(1, 1, 1, 2, 3)	        16	        51
     0.026	(1, 1, 1, 2, 3)	        17	        51
       0.0	(1, 1, 1, 2, 3)	         5	        52
       0.0	(1, 1, 1, 2, 3)	         6	        52
       0.0	(1, 1, 1, 2, 3)	         7	        52
       0.0	(1, 1, 1, 2, 3)	         8	        52
       0.0	(1, 1, 1, 2, 3)	         9	        52
     0.004	(1, 1, 1, 2, 3)	        10	        52
     0.002	(1, 1, 1, 2, 3)	        11	        52
     0.006	(1, 1, 1, 2, 3)	        12	        52
     0.012	(1, 1, 1, 2, 3)	        13	        52
     0.012	(1, 1, 1, 2, 3)	        14	        52
      0.02	(1, 1, 1, 2, 3)	        15	        52
     0.028	(1, 1, 1, 2, 3)	        16	        52
     0.034	(1, 1, 1, 2, 3)	        17	        52
     0.006	(1, 1, 3, 4, 4)	         5	        18
      0.02	(1, 1, 3, 4, 4)	         6	        18
     0.054	(1, 1, 3, 4, 4)	         7	        18
     0.112	(1, 1, 3, 4, 4)	         8	        18
     0.152	(1, 1, 3, 4, 4)	         9	        18
      0.23	(1, 1, 3, 4, 4)	        10	        18
     0.352	(1, 1, 3, 4, 4)	        11	        18
      0.39	(1, 1, 3, 4, 4)	        12	        18
      0.51	(1, 1, 3, 4, 4)	        13	        18
       0.6	(1, 1, 3, 4, 4)	        14	        18
      0.67	(1, 1, 3, 4, 4)	        15	        18
      0.78	(1, 1, 3, 4, 4)	        16	        18
     0.876	(1, 1, 3, 4, 4)	        17	        18
     0.004	(1, 1, 3, 4, 4)	         5	        19
     0.004	(1, 1, 3, 4, 4)	         6	        19
     0.028	(1, 1, 3, 4, 4)	         7	        19
     0.072	(1, 1, 3, 4, 4)	         8	        19
      0.13	(1, 1, 3, 4, 4)	         9	        19
     0.198	(1, 1, 3, 4, 4)	        10	        19
     0.282	(1, 1, 3, 4, 4)	        11	        19
     0.358	(1, 1, 3, 4, 4)	        12	        19
       0.4	(1, 1, 3, 4, 4)	        13	        19
     0.512	(1, 1, 3, 4, 4)	        14	        19
     0.586	(1, 1, 3, 4, 4)	        15	        19
     0.668	(1, 1, 3, 4, 4)	        16	        19
     0.792	(1, 1, 3, 4, 4)	        17	        19
     0.002	(1, 1, 3, 4, 4)	         5	        20
     0.018	(1, 1, 3, 4, 4)	         6	        20
     0.044	(1, 1, 3, 4, 4)	         7	        20
     0.064	(1, 1, 3, 4, 4)	         8	        20
     0.096	(1, 1, 3, 4, 4)	         9	        20
      0.19	(1, 1, 3, 4, 4)	        10	        20
      0.26	(1, 1, 3, 4, 4)	        11	        20
     0.286	(1, 1, 3, 4, 4)	        12	        20
       0.4	(1, 1, 3, 4, 4)	        13	        20
     0.446	(1, 1, 3, 4, 4)	        14	        20
     0.518	(1, 1, 3, 4, 4)	        15	        20
     0.636	(1, 1, 3, 4, 4)	        16	        20
     0.716	(1, 1, 3, 4, 4)	        17	        20
       0.0	(1, 1, 3, 4, 4)	         5	        21
      0.01	(1, 1, 3, 4, 4)	         6	        21
     0.046	(1, 1, 3, 4, 4)	         7	        21
     0.038	(1, 1, 3, 4, 4)	         8	        21
     0.104	(1, 1, 3, 4, 4)	         9	        21
     0.146	(1, 1, 3, 4, 4)	        10	        21
     0.216	(1, 1, 3, 4, 4)	        11	        21
     0.282	(1, 1, 3, 4, 4)	        12	        21
     0.312	(1, 1, 3, 4, 4)	        13	        21
     0.428	(1, 1, 3, 4, 4)	        14	        21
     0.452	(1, 1, 3, 4, 4)	        15	        21
      0.55	(1, 1, 3, 4, 4)	        16	        21
     0.654	(1, 1, 3, 4, 4)	        17	        21
       0.0	(1, 1, 3, 4, 4)	         5	        22
     0.006	(1, 1, 3, 4, 4)	         6	        22
      0.02	(1, 1, 3, 4, 4)	         7	        22
     0.052	(1, 1, 3, 4, 4)	         8	        22
     0.088	(1, 1, 3, 4, 4)	         9	        22
     0.114	(1, 1, 3, 4, 4)	        10	        22
     0.162	(1, 1, 3, 4, 4)	        11	        22
     0.238	(1, 1, 3, 4, 4)	        12	        22
       0.3	(1, 1, 3, 4, 4)	        13	        22
