probability	num_empty_space	num_suit_left	num_to_draw	deck_size
        0.926	            1	            9	           11	           48
        0.936	            1	            9	           12	           48
        0.966	            1	            9	           13	           48
        0.976	            1	            9	           14	           48
        0.968	            1	            9	           15	           48
        0.978	            1	            9	           16	           48
        0.996	            1	            9	           17	           48
        0.188	            1	            9	            1	           49
        0.348	            1	            9	            2	           49
        0.478	            1	            9	            3	           49
         0.58	            1	            9	            4	           49
         0.67	            1	            9	            5	           49
        0.734	            1	            9	            6	           49
        0.814	            1	            9	            7	           49
        0.826	            1	            9	            8	           49
         0.87	            1	            9	            9	           49
        0.888	            1	            9	           10	           49
         0.91	            1	            9	           11	           49
        0.954	            1	            9	           12	           49
        0.948	            1	            9	           13	           49
        0.964	            1	            9	           14	           49
        0.974	            1	            9	           15	           49
        0.978	            1	            9	           16	           49
        0.988	            1	            9	           17	           49
        0.184	            1	            9	            1	           50
        0.346	            1	            9	            2	           50
        0.482	            1	            9	            3	           50
        0.594	            1	            9	            4	           50
        0.692	            1	            9	            5	           50
        0.708	            1	            9	            6	           50
        0.784	            1	            9	            7	           50
        0.848	            1	            9	            8	           50
        0.856	            1	            9	            9	           50
          0.9	            1	            9	           10	           50
        0.928	            1	            9	           11	           50
        0.948	            1	            9	           12	           50
         0.96	            1	            9	           13	           50
        0.966	            1	            9	           14	           50
         0.98	            1	            9	           15	           50
        0.984	            1	            9	           16	           50
        0.984	            1	            9	           17	           50
         0.17	            1	            9	            1	           51
        0.352	            1	            9	            2	           51
        0.464	            1	            9	            3	           51
        0.564	            1	            9	            4	           51
        0.706	            1	            9	            5	           51
        0.744	            1	            9	            6	           51
        0.802	            1	            9	            7	           51
        0.846	            1	            9	            8	           51
        0.864	            1	            9	            9	           51
        0.886	            1	            9	           10	           51
        0.928	            1	            9	           11	           51
        0.952	            1	            9	           12	           51
        0.952	            1	            9	           13	           51
        0.972	            1	            9	           14	           51
         0.98	            1	            9	           15	           51
         0.98	            1	            9	           16	           51
         0.99	            1	            9	           17	           51
        0.192	            1	            9	            1	           52
        0.334	            1	            9	            2	           52
         0.47	            1	            9	            3	           52
        0.622	            1	            9	            4	           52
        0.666	            1	            9	            5	           52
        0.748	            1	            9	            6	           52
        0.802	            1	            9	            7	           52
        0.822	            1	            9	            8	           52
         0.86	            1	            9	            9	           52
        0.922	            1	            9	           10	           52
         0.93	            1	            9	           11	           52
        0.948	            1	            9	           12	           52
        0.948	            1	            9	           13	           52
        0.968	            1	            9	           14	           52
        0.982	            1	            9	           15	           52
        0.992	            1	            9	           16	           52
         0.99	            1	            9	           17	           52
        0.478	            1	           10	            1	           18
        0.798	            1	           10	            2	           18
        0.934	            1	           10	            3	           18
        0.976	            1	           10	            4	           18
        0.988	            1	           10	            5	           18
        0.996	            1	           10	            6	           18
          1.0	            1	           10	            7	           18
          1.0	            1	           10	            8	           18
          1.0	            1	           10	            9	           18
          1.0	            1	           10	           10	           18
          1.0	            1	           10	           11	           18
          1.0	            1	           10	           12	           18
          1.0	            1	           10	           13	           18
          1.0	            1	           10	           14	           18
          1.0	            1	           10	           15	           18
          1.0	            1	           10	           16	           18
          1.0	            1	           10	           17	           18
        0.512	            1	           10	            1	           19
        0.776	            1	           10	            2	           19
        0.926	            1	           10	            3	           19
        0.972	            1	           10	            4	           19
        0.984	            1	           10	            5	           19
        0.998	            1	           10	            6	           19
          1.0	            1	           10	            7	           19
          1.0	            1	           10	            8	           19
          1.0	            1	           10	            9	           19
          1.0	            1	           10	           10	           19
          1.0	            1	           10	           11	           19
          1.0	            1	           10	           12	           19
          1.0	            1	           10	           13	           19
          1.0	            1	           10	           14	           19
          1.0	            1	           10	           15	           19
          1.0	            1	           10	           16	           19
          1.0	            1	           10	           17	           19
          0.5	            1	           10	            1	           20
        0.764	            1	           10	            2	           20
        0.886	            1	           10	            3	           20
        0.954	            1	           10	            4	           20
         0.98	            1	           10	            5	           20
        0.992	            1	           10	            6	           20
        0.992	            1	           10	            7	           20
          1.0	            1	           10	            8	           20
          1.0	            1	           10	            9	           20
          1.0	            1	           10	           10	           20
          1.0	            1	           10	           11	           20
          1.0	            1	           10	           12	           20
          1.0	            1	           10	           13	           20
          1.0	            1	           10	           14	           20
          1.0	            1	           10	           15	           20
          1.0	            1	           10	           16	           20
          1.0	            1	           10	           17	           20
        0.462	            1	           10	            1	           21
        0.706	            1	           10	            2	           21
        0.862	            1	           10	            3	           21
        0.966	            1	           10	            4	           21
        0.972	            1	           10	            5	           21
        0.996	            1	           10	            6	           21
        0.996	            1	           10	            7	           21
        0.998	            1	           10	            8	           21
          1.0	            1	           10	            9	           21
          1.0	            1	           10	           10	           21
          1.0	            1	           10	           11	           21
          1.0	            1	           10	           12	           21
          1.0	            1	           10	           13	           21
          1.0	            1	           10	           14	           21
          1.0	            1	           10	           15	           21
          1.0	            1	           10	           16	           21
          1.0	            1	           10	           17	           21
         0.49	            1	           10	            1	           22
        0.692	            1	           10	            2	           22
         0.87	            1	           10	            3	           22
        0.932	            1	           10	            4	           22
         0.96	            1	           10	            5	           22
         0.99	            1	           10	            6	           22
        0.996	            1	           10	            7	           22
        0.998	            1	           10	            8	           22
          1.0	            1	           10	            9	           22
          1.0	            1	           10	           10	           22
          1.0	            1	           10	           11	           22
          1.0	            1	           10	           12	           22
          1.0	            1	           10	           13	           22
          1.0	            1	           10	           14	           22
          1.0	            1	           10	           15	           22
          1.0	            1	           10	           16	           22
          1.0	            1	           10	           17	           22
        0.442	            1	           10	            1	           23
        0.696	            1	           10	            2	           23
         0.84	            1	           10	            3	           23
        0.882	            1	           10	            4	           23
        0.956	            1	           10	            5	           23
        0.988	            1	           10	            6	           23
        0.994	            1	           10	            7	           23
        0.998	            1	           10	            8	           23
        0.998	            1	           10	            9	           23
          1.0	            1	           10	           10	           23
          1.0	            1	           10	           11	           23
          1.0	            1	           10	           12	           23
          1.0	            1	           10	           13	           23
          1.0	            1	           10	           14	           23
          1.0	            1	           10	           15	           23
          1.0	            1	           10	           16	           23
          1.0	            1	           10	           17	           23
        0.418	            1	           10	            1	           24
        0.672	            1	           10	            2	           24
        0.836	            1	           10	            3	           24
        0.916	            1	           10	            4	           24
        0.962	            1	           10	            5	           24
        0.968	            1	           10	            6	           24
        0.994	            1	           10	            7	           24
        0.994	            1	           10	            8	           24
         0.99	            1	           10	            9	           24
          1.0	            1	           10	           10	           24
        0.998	            1	           10	           11	           24
          1.0	            1	           10	           12	           24
          1.0	            1	           10	           13	           24
          1.0	            1	           10	           14	           24
          1.0	            1	           10	           15	           24
          1.0	            1	           10	           16	           24
          1.0	            1	           10	           17	           24
         0.44	            1	           10	            1	           25
        0.646	            1	           10	            2	           25
         0.76	            1	           10	            3	           25
        0.892	            1	           10	            4	           25
        0.922	            1	           10	            5	           25
        0.982	            1	           10	            6	           25
        0.988	            1	           10	            7	           25
        0.992	            1	           10	            8	           25
          1.0	            1	           10	            9	           25
          1.0	            1	           10	           10	           25
          1.0	            1	           10	           11	           25
          1.0	            1	           10	           12	           25
          1.0	            1	           10	           13	           25
          1.0	            1	           10	           14	           25
          1.0	            1	           10	           15	           25
          1.0	            1	           10	           16	           25
          1.0	            1	           10	           17	           25
        0.418	            1	           10	            1	           26
        0.612	            1	           10	            2	           26
        0.752	            1	           10	            3	           26
        0.884	            1	           10	            4	           26
        0.958	            1	           10	            5	           26
        0.956	            1	           10	            6	           26
        0.976	            1	           10	            7	           26
        0.986	            1	           10	            8	           26
        0.994	            1	           10	            9	           26
          1.0	            1	           10	           10	           26
        0.998	            1	           10	           11	           26
          1.0	            1	           10	           12	           26
          1.0	            1	           10	           13	           26
          1.0	            1	           10	           14	           26
          1.0	            1	           10	           15	           26
          1.0	            1	           10	           16	           26
          1.0	            1	           10	           17	           26
        0.364	            1	           10	            1	           27
        0.638	            1	           10	            2	           27
         0.75	            1	           10	            3	           27
        0.876	            1	           10	            4	           27
        0.922	            1	           10	            5	           27
        0.958	            1	           10	            6	           27
        0.978	            1	           10	            7	           27
        0.974	            1	           10	            8	           27
        0.992	            1	           10	            9	           27
        0.998	            1	           10	           10	           27
          1.0	            1	           10	           11	           27
          1.0	            1	           10	           12	           27
          1.0	            1	           10	           13	           27
          1.0	            1	           10	           14	           27
          1.0	            1	           10	           15	           27
          1.0	            1	           10	           16	           27
          1.0	            1	           10	           17	           27
         0.37	            1	           10	            1	           28
        0.614	            1	           10	            2	           28
        0.788	            1	           10	            3	           28
        0.856	            1	           10	            4	           28
        0.892	            1	           10	            5	           28
        0.962	            1	           10	            6	           28
        0.964	            1	           10	            7	           28
         0.99	            1	           10	            8	           28
          1.0	            1	           10	            9	           28
        0.992	            1	           10	           10	           28
        0.998	            1	           10	           11	           28
          1.0	            1	           10	           12	           28
          1.0	            1	           10	           13	           28
          1.0	            1	           10	           14	           28
          1.0	            1	           10	           15	           28
          1.0	            1	           10	           16	           28
          1.0	            1	           10	           17	           28
        0.324	            1	           10	            1	           29
         0.57	            1	           10	            2	           29
        0.708	            1	           10	            3	           29
        0.852	            1	           10	            4	           29
        0.896	            1	           10	            5	           29
        0.944	            1	           10	            6	           29
         0.96	            1	           10	            7	           29
        0.986	            1	           10	            8	           29
        0.996	            1	           10	            9	           29
        0.996	            1	           10	           10	           29
        0.996	            1	           10	           11	           29
        0.996	            1	           10	           12	           29
          1.0	            1	           10	           13	           29
          1.0	            1	           10	           14	           29
          1.0	            1	           10	           15	           29
          1.0	            1	           10	           16	           29
          1.0	            1	           10	           17	           29
        0.352	            1	           10	            1	           30
        0.536	            1	           10	            2	           30
        0.718	            1	           10	            3	           30
         0.81	            1	           10	            4	           30
        0.878	            1	           10	            5	           30
        0.954	            1	           10	            6	           30
         0.94	            1	           10	            7	           30
        0.972	            1	           10	            8	           30
        0.984	            1	           10	            9	           30
        0.994	            1	           10	           10	           30
        0.994	            1	           10	           11	           30
        0.998	            1	           10	           12	           30
        0.998	            1	           10	           13	           30
          1.0	            1	           10	           14	           30
          1.0	            1	           10	           15	           30
          1.0	            1	           10	           16	           30
          1.0	            1	           10	           17	           30
         0.31	            1	           10	            1	           31
        0.538	            1	           10	            2	           31
        0.672	            1	           10	            3	           31
        0.796	            1	           10	            4	           31
        0.882	            1	           10	            5	           31
         0.91	            1	           10	            6	           31
         0.95	            1	           10	            7	           31
        0.976	            1	           10	            8	           31
        0.982	            1	           10	            9	           31
        0.986	            1	           10	           10	           31
        0.996	            1	           10	           11	           31
        0.996	            1	           10	           12	           31
          1.0	            1	           10	           13	           31
          1.0	            1	           10	           14	           31
        0.998	            1	           10	           15	           31
          1.0	            1	           10	           16	           31
          1.0	            1	           10	           17	           31
        0.308	            1	           10	            1	           32
        0.542	            1	           10	            2	           32
        0.722	            1	           10	            3	           32
         0.82	            1	           10	            4	           32
        0.848	            1	           10	            5	           32
        0.922	            1	           10	            6	           32
        0.948	            1	           10	            7	           32
         0.97	            1	           10	            8	           32
         0.98	            1	           10	            9	           32
         0.99	            1	           10	           10	           32
        0.994	            1	           10	           11	           32
        0.996	            1	           10	           12	           32
        0.998	            1	           10	           13	           32
          1.0	            1	           10	           14	           32
          1.0	            1	           10	           15	           32
          1.0	            1	           10	           16	           32
          1.0	            1	           10	           17	           32
         0.31	            1	           10	            1	           33
        0.518	            1	           10	            2	           33
        0.658	            1	           10	            3	           33
         0.81	            1	           10	            4	           33
        0.854	            1	           10	            5	           33
        0.898	            1	           10	            6	           33
        0.934	            1	           10	            7	           33
        0.966	            1	           10	            8	           33
        0.984	            1	           10	            9	           33
         0.99	            1	           10	           10	           33
        0.988	            1	           10	           11	           33
        0.994	            1	           10	           12	           33
        0.996	            1	           10	           13	           33
        0.996	            1	           10	           14	           33
          1.0	            1	           10	           15	           33
          1.0	            1	           10	           16	           33
          1.0	            1	           10	           17	           33
        0.302	            1	           10	            1	           34
        0.494	            1	           10	            2	           34
        0.706	            1	           10	            3	           34
        0.784	            1	           10	            4	           34
        0.844	            1	           10	            5	           34
        0.902	            1	           10	            6	           34
         0.95	            1	           10	            7	           34
        0.958	            1	           10	            8	           34
        0.984	            1	           10	            9	           34
        0.984	            1	           10	           10	           34
        0.994	            1	           10	           11	           34
          1.0	            1	           10	           12	           34
        0.996	            1	           10	           13	           34
          1.0	            1	           10	           14	           34
          1.0	            1	           10	           15	           34
        0.998	            1	           10	           16	           34
          1.0	            1	           10	           17	           34
        0.278	            1	           10	            1	           35
        0.506	            1	           10	            2	           35
        0.658	            1	           10	            3	           35
        0.734	            1	           10	            4	           35
         0.85	            1	           10	            5	           35
          0.9	            1	           10	            6	           35
        0.904	            1	           10	            7	           35
         0.96	            1	           10	            8	           35
        0.964	            1	           10	            9	           35
        0.976	            1	           10	           10	           35
        0.982	            1	           10	           11	           35
        0.996	            1	           10	           12	           35
        0.998	            1	           10	           13	           35
        0.998	            1	           10	           14	           35
          1.0	            1	           10	           15	           35
          1.0	            1	           10	           16	           35
          1.0	            1	           10	           17	           35
        0.272	            1	           10	            1	           36
        0.478	            1	           10	            2	           36
        0.648	            1	           10	            3	           36
        0.724	            1	           10	            4	           36
        0.822	            1	           10	            5	           36
        0.882	            1	           10	            6	           36
         0.93	            1	           10	            7	           36
        0.944	            1	           10	            8	           36
        0.964	            1	           10	            9	           36
        0.992	            1	           10	           10	           36
        0.984	            1	           10	           11	           36
        0.992	            1	           10	           12	           36
        0.998	            1	           10	           13	           36
        0.996	            1	           10	           14	           36
          1.0	            1	           10	           15	           36
          1.0	            1	           10	           16	           36
          1.0	            1	           10	           17	           36
        0.288	            1	           10	            1	           37
        0.506	            1	           10	            2	           37
        0.632	            1	           10	            3	           37
        0.718	            1	           10	            4	           37
        0.798	            1	           10	            5	           37
         0.87	            1	           10	            6	           37
        0.898	            1	           10	            7	           37
         0.95	            1	           10	            8	           37
        0.974	            1	           10	            9	           37
        0.986	            1	           10	           10	           37
         0.99	            1	           10	           11	           37
         0.99	            1	           10	           12	           37
        0.996	            1	           10	           13	           37
          1.0	            1	           10	           14	           37
        0.996	            1	           10	           15	           37
          1.0	            1	           10	           16	           37
        0.996	            1	           10	           17	           37
         0.26	            1	           10	            1	           38
        0.446	            1	           10	            2	           38
        0.584	            1	           10	            3	           38
        0.716	            1	           10	            4	           38
        0.812	            1	           10	            5	           38
        0.858	            1	           10	            6	           38
         0.89	            1	           10	            7	           38
        0.932	            1	           10	            8	           38
         0.98	            1	           10	            9	           38
         0.97	            1	           10	           10	           38
        0.978	            1	           10	           11	           38
        0.994	            1	           10	           12	           38
        0.996	            1	           10	           13	           38
        0.992	            1	           10	           14	           38
        0.994	            1	           10	           15	           38
          1.0	            1	           10	           16	           38
          1.0	            1	           10	           17	           38
        0.258	            1	           10	            1	           39
        0.402	            1	           10	            2	           39
        0.624	            1	           10	            3	           39
        0.728	            1	           10	            4	           39
         0.83	            1	           10	            5	           39
        0.876	            1	           10	            6	           39
        0.898	            1	           10	            7	           39
        0.916	            1	           10	            8	           39
         0.94	            1	           10	            9	           39
        0.976	            1	           10	           10	           39
        0.982	            1	           10	           11	           39
        0.986	            1	           10	           12	           39
        0.988	            1	           10	           13	           39
        0.996	            1	           10	           14	           39
        0.998	            1	           10	           15	           39
          1.0	            1	           10	           16	           39
        0.998	            1	           10	           17	           39
         0.27	            1	           10	            1	           40
        0.468	            1	           10	            2	           40
        0.608	            1	           10	            3	           40
        0.682	            1	           10	            4	           40
         0.75	            1	           10	            5	           40
        0.848	            1	           10	            6	           40
          0.9	            1	           10	            7	           40
        0.926	            1	           10	            8	           40
        0.928	            1	           10	            9	           40
        0.968	            1	           10	           10	           40
        0.964	            1	           10	           11	           40
         0.98	            1	           10	           12	           40
        0.986	            1	           10	           13	           40
        0.994	            1	           10	           14	           40
        0.998	            1	           10	           15	           40
          1.0	            1	           10	           16	           40
        0.998	            1	           10	           17	           40
         0.26	            1	           10	            1	           41
        0.414	            1	           10	            2	           41
        0.572	            1	           10	            3	           41
        0.676	            1	           10	            4	           41
        0.778	            1	           10	            5	           41
         0.84	            1	           10	            6	           41
        0.878	            1	           10	            7	           41
        0.922	            1	           10	            8	           41
        0.938	            1	           10	            9	           41
        0.958	            1	           10	           10	           41
         0.96	            1	           10	           11	           41
        0.988	            1	           10	           12	           41
        0.996	            1	           10	           13	           41
        0.988	            1	           10	           14	           41
        0.998	            1	           10	           15	           41
        0.996	            1	           10	           16	           41
          1.0	            1	           10	           17	           41
        0.212	            1	           10	            1	           42
        0.402	            1	           10	            2	           42
        0.568	            1	           10	            3	           42
        0.712	            1	           10	            4	           42
        0.802	            1	           10	            5	           42
        0.794	            1	           10	            6	           42
        0.886	            1	           10	            7	           42
         0.91	            1	           10	            8	           42
        0.958	            1	           10	            9	           42
        0.944	            1	           10	           10	           42
        0.958	            1	           10	           11	           42
        0.976	            1	           10	           12	           42
         0.97	            1	           10	           13	           42
        0.998	            1	           10	           14	           42
        0.998	            1	           10	           15	           42
        0.998	            1	           10	           16	           42
        0.998	            1	           10	           17	           42
        0.208	            1	           10	            1	           43
        0.424	            1	           10	            2	           43
        0.572	            1	           10	            3	           43
        0.654	            1	           10	            4	           43
        0.714	            1	           10	            5	           43
        0.806	            1	           10	            6	           43
        0.874	            1	           10	            7	           43
         0.93	            1	           10	            8	           43
         0.93	            1	           10	            9	           43
        0.934	            1	           10	           10	           43
        0.966	            1	           10	           11	           43
        0.982	            1	           10	           12	           43
         0.99	            1	           10	           13	           43
         0.99	            1	           10	           14	           43
        0.992	            1	           10	           15	           43
        0.994	            1	           10	           16	           43
        0.998	            1	           10	           17	           43
        0.204	            1	           10	            1	           44
        0.422	            1	           10	            2	           44
        0.524	            1	           10	            3	           44
        0.658	            1	           10	            4	           44
        0.754	            1	           10	            5	           44
         0.82	            1	           10	            6	           44
        0.862	            1	           10	            7	           44
        0.916	            1	           10	            8	           44
        0.926	            1	           10	            9	           44
        0.954	            1	           10	           10	           44
         0.96	            1	           10	           11	           44
        0.982	            1	           10	           12	           44
        0.986	            1	           10	           13	           44
        0.992	            1	           10	           14	           44
        0.996	            1	           10	           15	           44
        0.992	            1	           10	           16	           44
        0.998	            1	           10	           17	           44
        0.216	            1	           10	            1	           45
        0.424	            1	           10	            2	           45
        0.518	            1	           10	            3	           45
        0.662	            1	           10	            4	           45
         0.71	            1	           10	            5	           45
        0.802	            1	           10	            6	           45
        0.874	            1	           10	            7	           45
        0.908	            1	           10	            8	           45
         0.92	            1	           10	            9	           45
        0.932	            1	           10	           10	           45
        0.956	            1	           10	           11	           45
         0.96	            1	           10	           12	           45
        0.978	            1	           10	           13	           45
        0.982	            1	           10	           14	           45
         0.99	            1	           10	           15	           45
        0.992	            1	           10	           16	           45
        0.996	            1	           10	           17	           45
        0.228	            1	           10	            1	           46
        0.404	            1	           10	            2	           46
        0.542	            1	           10	            3	           46
        0.644	            1	           10	            4	           46
        0.736	            1	           10	            5	           46
          0.8	            1	           10	            6	           46
        0.826	            1	           10	            7	           46
        0.898	            1	           10	            8	           46
        0.924	            1	           10	            9	           46
        0.948	            1	           10	           10	           46
        0.954	            1	           10	           11	           46
        0.962	            1	           10	           12	           46
        0.966	            1	           10	           13	           46
        0.984	            1	           10	           14	           46
        0.986	            1	           10	           15	           46
        0.992	            1	           10	           16	           46
        0.994	            1	           10	           17	           46
        0.202	            1	           10	            1	           47
        0.388	            1	           10	            2	           47
        0.544	            1	           10	            3	           47
        0.604	            1	           10	            4	           47
        0.716	            1	           10	            5	           47
        0.798	            1	           10	            6	           47
        0.838	            1	           10	            7	           47
         0.88	            1	           10	            8	           47
        0.912	            1	           10	            9	           47
        0.938	            1	           10	           10	           47
        0.948	            1	           10	           11	           47
        0.946	            1	           10	           12	           47
        0.984	            1	           10	           13	           47
        0.986	            1	           10	           14	           47
        0.992	            1	           10	           15	           47
        0.996	            1	           10	           16	           47
        0.994	            1	           10	           17	           47
        0.206	            1	           10	            1	           48
         0.38	            1	           10	            2	           48
        0.542	            1	           10	            3	           48
        0.626	            1	           10	            4	           48
         0.67	            1	           10	            5	           48
        0.754	            1	           10	            6	           48
         0.85	            1	           10	            7	           48
        0.876	            1	           10	            8	           48
         0.88	            1	           10	            9	           48
        0.944	            1	           10	           10	           48
        0.952	            1	           10	           11	           48
         0.98	            1	           10	           12	           48
         0.97	            1	           10	           13	           48
        0.986	            1	           10	           14	           48
         0.98	            1	           10	           15	           48
        0.982	            1	           10	           16	           48
        0.996	            1	           10	           17	           48
        0.194	            1	           10	            1	           49
        0.374	            1	           10	            2	           49
        0.518	            1	           10	            3	           49
        0.604	            1	           10	            4	           49
        0.678	            1	           10	            5	           49
        0.738	            1	           10	            6	           49
        0.844	            1	           10	            7	           49
        0.862	            1	           10	            8	           49
         0.91	            1	           10	            9	           49
        0.932	            1	           10	           10	           49
        0.924	            1	           10	           11	           49
        0.954	            1	           10	           12	           49
        0.978	            1	           10	           13	           49
        0.982	            1	           10	           14	           49
        0.984	            1	           10	           15	           49
        0.988	            1	           10	           16	           49
        0.994	            1	           10	           17	           49
        0.228	            1	           10	            1	           50
        0.348	            1	           10	            2	           50
        0.508	            1	           10	            3	           50
        0.634	            1	           10	            4	           50
        0.734	            1	           10	            5	           50
        0.758	            1	           10	            6	           50
        0.784	            1	           10	            7	           50
        0.846	            1	           10	            8	           50
        0.878	            1	           10	            9	           50
         0.93	            1	           10	           10	           50
        0.946	            1	           10	           11	           50
        0.942	            1	           10	           12	           50
        0.974	            1	           10	           13	           50
        0.974	            1	           10	           14	           50
         0.99	            1	           10	           15	           50
        0.994	            1	           10	           16	           50
        0.992	            1	           10	           17	           50
        0.214	            1	           10	            1	           51
        0.342	            1	           10	            2	           51
        0.444	            1	           10	            3	           51
        0.638	            1	           10	            4	           51
          0.7	            1	           10	            5	           51
         0.78	            1	           10	            6	           51
        0.838	            1	           10	            7	           51
