Probability	Target freq	Row freq	Deck freq	Number to draw	Deck size
     0.63	        1	        0	        1	       15	       24
    0.664	        1	        0	        1	       16	       24
    0.722	        1	        0	        1	       17	       24
      0.0	        1	        0	        1	        0	       25
    0.036	        1	        0	        1	        1	       25
     0.09	        1	        0	        1	        2	       25
    0.134	        1	        0	        1	        3	       25
    0.168	        1	        0	        1	        4	       25
    0.194	        1	        0	        1	        5	       25
    0.246	        1	        0	        1	        6	       25
    0.316	        1	        0	        1	        7	       25
    0.304	        1	        0	        1	        8	       25
    0.382	        1	        0	        1	        9	       25
    0.388	        1	        0	        1	       10	       25
    0.444	        1	        0	        1	       11	       25
    0.482	        1	        0	        1	       12	       25
    0.522	        1	        0	        1	       13	       25
    0.588	        1	        0	        1	       14	       25
    0.628	        1	        0	        1	       15	       25
    0.594	        1	        0	        1	       16	       25
     0.72	        1	        0	        1	       17	       25
      0.0	        1	        0	        1	        0	       26
    0.026	        1	        0	        1	        1	       26
     0.06	        1	        0	        1	        2	       26
    0.132	        1	        0	        1	        3	       26
    0.184	        1	        0	        1	        4	       26
    0.188	        1	        0	        1	        5	       26
    0.218	        1	        0	        1	        6	       26
    0.274	        1	        0	        1	        7	       26
    0.322	        1	        0	        1	        8	       26
     0.37	        1	        0	        1	        9	       26
    0.416	        1	        0	        1	       10	       26
    0.452	        1	        0	        1	       11	       26
    0.498	        1	        0	        1	       12	       26
    0.494	        1	        0	        1	       13	       26
    0.544	        1	        0	        1	       14	       26
    0.578	        1	        0	        1	       15	       26
    0.632	        1	        0	        1	       16	       26
    0.648	        1	        0	        1	       17	       26
      0.0	        1	        0	        1	        0	       27
    0.038	        1	        0	        1	        1	       27
     0.07	        1	        0	        1	        2	       27
    0.104	        1	        0	        1	        3	       27
     0.15	        1	        0	        1	        4	       27
    0.194	        1	        0	        1	        5	       27
    0.208	        1	        0	        1	        6	       27
     0.26	        1	        0	        1	        7	       27
    0.294	        1	        0	        1	        8	       27
    0.326	        1	        0	        1	        9	       27
    0.338	        1	        0	        1	       10	       27
    0.398	        1	        0	        1	       11	       27
    0.452	        1	        0	        1	       12	       27
    0.476	        1	        0	        1	       13	       27
    0.504	        1	        0	        1	       14	       27
    0.556	        1	        0	        1	       15	       27
      0.6	        1	        0	        1	       16	       27
     0.67	        1	        0	        1	       17	       27
      0.0	        1	        0	        1	        0	       28
    0.038	        1	        0	        1	        1	       28
     0.09	        1	        0	        1	        2	       28
     0.11	        1	        0	        1	        3	       28
    0.174	        1	        0	        1	        4	       28
    0.216	        1	        0	        1	        5	       28
    0.204	        1	        0	        1	        6	       28
    0.252	        1	        0	        1	        7	       28
     0.29	        1	        0	        1	        8	       28
    0.338	        1	        0	        1	        9	       28
    0.338	        1	        0	        1	       10	       28
    0.366	        1	        0	        1	       11	       28
    0.422	        1	        0	        1	       12	       28
     0.47	        1	        0	        1	       13	       28
    0.478	        1	        0	        1	       14	       28
